Id,Title,Action,Drama,Adventure,Sci-Fi,Fantasy,Comedy,Romance,Thriller,Crime,War,Mystery,Animation,Children,Horror,Musical,Documentary,IMAX,Western,Film-Noir,Ratings,Label
2299, Peter's Friends (1992),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,1
2300," Incredibly True Adventure of Two Girls in Love, The (1995)",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0
2301, Under the Rainbow (1981),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,1
2302, Anywhere But Here (1999),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,2
2303, Dogma (1999),0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,3
2304," Messenger: The Story of Joan of Arc, The (1999)",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.6,3
2305, Pokémon: The First Movie (1998),0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6.5,2
2306, Felicia's Journey (1999),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.5,1
2307, Oxygen (1999),0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9.3,3
2308, Where's Marlowe? (1998),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,2
2309," Commitments, The (1991)",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5.3,2
2310, Holiday Inn (1942),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,0
2311," Longest Day, The (1962)",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.6,3
2312, Poison Ivy (1992),0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.7,3
2313, Poison Ivy: New Seduction (1997),0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2,0
2314, Tora! Tora! Tora! (1970),1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.3,0
2315, Women on the Verge of a Nervous Breakdown (Mujeres al borde de un ataque de nervios) (1988),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0
2316," Verdict, The (1982)",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.7,3
2317," Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,1
2318, Stand and Deliver (1988),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
2319, Moonstruck (1987),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0
2320," Sandpiper, The (1965)",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.7,3
2321, Jeremiah Johnson (1972),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,1
2322, Repulsion (1965),0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.7,3
2323, Irma la Douce (1963),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0
2324, 42 Up (1998),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.6,0
2325, Liberty Heights (1999),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,1
2326, Mansfield Park (1999),0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8.7,3
2327, Sleepy Hollow (1999),0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.3,3
2328," World Is Not Enough, The (1999)",1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.8,0
2329, All About My Mother (Todo sobre mi madre) (1999),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,3
2330, Babes in Toyland (1934),0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,9.3,3
2331, Scrooged (1988),0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.6,3
2332, Harvey (1950),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
2333, Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0
2334, Matewan (1987),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,2
2335, Kagemusha (1980),0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.8,0
2336, McCabe & Mrs. Miller (1971),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.4,0
2337, Maurice (1987),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.4,3
2338," Grapes of Wrath, The (1940)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,3
2339, My Man Godfrey (1957),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,2
2340," Shop Around the Corner, The (1940)",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.8,1
2341," Natural, The (1984)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,3
2342, Shampoo (1975),0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0
2343," River Runs Through It, A (1992)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,2
2344, Fatal Attraction (1987),0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.0,3
2345, Jagged Edge (1985),0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.6,0
2346, Stanley & Iris (1990),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0,2
2347, Midnight Run (1988),1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1.5,0
2348, Awakenings (1990),0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.2,1
2349, Come See the Paradise (1990),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.9,1
2350, Backdraft (1991),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,3
2351," Fisher King, The (1991)",0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9.7,3
2352," River, The (1984)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,1
2353, Places in the Heart (1984),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,3
2354, 'night Mother (1986),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,2
2355, End of Days (1999),1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,5.1,2
2356, Toy Story 2 (1999),0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,10.0,3
2357, Flawless (1999),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0
2358, Ride with the Devil (1999),0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.8,2
2359," Distinguished Gentleman, The (1992)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,3
2360," End of the Affair, The (1999)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0
2361, Holy Smoke (1999),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,3
2362, Sweet and Lowdown (1999),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,3
2363, Bonfire of the Vanities (1990),0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7.5,3
2364, Daddy Long Legs (1919),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,1
2365, Grand Illusion (La grande illusion) (1937),0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0
2366," Great Santini, The (1979)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,2
2367, Stealing Home (1988),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,1
2368," Two Jakes, The (1990)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,3
2369, U2: Rattle and Hum (1988),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2.6,1
2370, Hell in the Pacific (1968),0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.6,3
2371, Cradle Will Rock (1999),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,1
2372, Deuce Bigalow: Male Gigolo (1999),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
2373," Green Mile, The (1999)",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.5,2
2374," Cider House Rules, The (1999)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,3
2375," War Zone, The (1999)",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.4,0
2376," Last Picture Show, The (1971)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0
2377," 7th Voyage of Sinbad, The (1958)",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,2
2378, Anna and the King (1999),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.1,3
2379, Bicentennial Man (1999),0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0
2380, Stuart Little (1999),0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4.6,1
2381," Emperor and the Assassin, The (Jing ke ci qin wang) (1999)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,1
2382, Fantasia 2000 (1999),0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,6.9,2
2383, Magnolia (1999),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0
2384, Onegin (1999),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.8,3
2385, Simpatico (1999),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,3
2386, Topsy-Turvy (1999),0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5.5,2
2387, Boiling Point (1993),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,3
2388, Carnal Knowledge (1971),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
2389, Easy Rider (1969),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,1
2390, The Falcon and the Snowman (1985),0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8.9,3
2391, Room at the Top (1959),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,1
2392, Any Given Sunday (1999),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,2
2393, Man on the Moon (1999),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,1
2394, Galaxy Quest (1999),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0
2395," Talented Mr. Ripley, The (1999)",0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6.3,2
2396, Next Friday (2000),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0
2397," Hurricane, The (1999)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,2
2398, Angela's Ashes (1999),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,1
2399, Titus (1999),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0
2400," Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.8,3
2401," Third Miracle, The (1999)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,2
2402, Snow Falling on Cedars (1999),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,2
2403," Girl, Interrupted (1999)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
2404, My Dog Skip (1999),0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.5,2
2405, Supernova (2000),0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.9,3
2406," Terrorist, The (a.k.a. Malli) (Theeviravaathi) (1998)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,2
2407," Way We Were, The (1973)",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.4,2
2408, Stalag 17 (1953),0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.8,2
2409," Presidio, The (1988)",1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,7.0,2
2410, Papillon (1973),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.0,0
2411," Last Detail, The (1973)",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,3
2412, Five Easy Pieces (1970),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,1
2413, Dead Calm (1989),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.6,1
2414," Boys from Brazil, The (1978)",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,9.9,3
2415, Against All Odds (1984),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.9,1
2416, Loaded Weapon 1 (National Lampoon's Loaded Weapon 1) (1993),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0
2417, Fast Times at Ridgemont High (1982),0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.8,1
2418," Cry in the Dark, A (1988)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0
2419, Batman: Mask of the Phantasm (1993),0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3.7,1
2420, American Flyers (1985),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,3
2421," Star Is Born, A (1937)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,3
2422, Pacific Heights (1990),0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3.9,1
2423," Draughtsman's Contract, The (1982)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,3
2424," Zed & Two Noughts, A (1985)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,1
2425, Woman in the Dunes (Suna no onna) (1964),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,1
2426, Down to You (2000),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6.9,2
2427," Odessa File, The (1974)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.2,1
2428, Where the Buffalo Roam (1980),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,2
2429, Eye of the Beholder (1999),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.5,1
2430," Big Tease, The (1999)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,3
2431," Cup, The (Phörpa) (1999)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,1
2432, Encino Man (1992),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,3
2433," Goodbye Girl, The (1977)",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9.9,3
2434, Malcolm X (1992),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,2
2435, Sister Act (1992),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8.2,3
2436, Sister Act 2: Back in the Habit (1993),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1
2437," Hand That Rocks the Cradle, The (1992)",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.7,1
2438, Alive (1993),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,2
2439, Agnes of God (1985),0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.1,2
2440, Scent of a Woman (1992),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,1
2441, Wayne's World (1992),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
2442, Wayne's World 2 (1993),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,2
2443," League of Their Own, A (1992)",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,2
2444, Patriot Games (1992),1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.8,0
2445," Bodyguard, The (1992)",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.9,0
2446, Death Becomes Her (1992),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,3
2447, Far and Away (1992),0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.2,2
2448, Howards End (1992),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,3
2449, Singles (1992),0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0
2450, Twin Peaks: Fire Walk with Me (1992),0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,4.3,1
2451, White Men Can't Jump (1992),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,1
2452, Buffy the Vampire Slayer (1992),1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8.6,3
2453, Hard-Boiled (Lat sau san taam) (1992),1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6.0,2
2454, Man Bites Dog (C'est arrivé près de chez vous) (1992),0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,7.8,3
2455," Mariachi, El (1992)",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,3.6,1
2456, Stop! Or My Mom Will Shoot (1992),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,3
2457, Forever Young (1992),0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0
2458," Cutting Edge, The (1992)",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0
2459, Of Mice and Men (1992),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,2
2460, Bad Lieutenant (1992),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0
2461, Scream 3 (2000),0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,5.3,2
2462, Single White Female (1992),0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.5,3
2463," Boondock Saints, The (2000)",1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2.6,1
2464, Gun Shy (2000),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,1
2465," Baby, The (1973)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.5,3
2466," Brandon Teena Story, The (1998)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.4,0
2467, Minnie and Moskowitz (1971),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,2
2468, They Might Be Giants (1971),0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.7,0
2469," Beach, The (2000)",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,3
2470, Snow Day (2000),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,3
2471," Tigger Movie, The (2000)",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3.5,1
2472, Not One Less (Yi ge dou bu neng shao) (1999),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0
2473, Eaten Alive (1977),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.4,1
2474, Raining Stones (1993),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0
2475, To Sir with Love (1967),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0
2476, Boiler Room (2000),0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7.0,2
2477, Hanging Up (2000),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1
2478, Pitch Black (2000),0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,9.0,3
2479," Whole Nine Yards, The (2000)",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0
2480, Beautiful People (1999),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0
2481, Black Tar Heroin: The Dark End of the Street (2000),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0
2482," Circus, The (1928)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1
2483, City Lights (1931),0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0
2484," Flamingo Kid, The (1984)",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,2
2485," Kid, The (1921)",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,2
2486, Class Reunion (1982),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,2
2487, Happy Go Lovely (1951),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.8,1
2488, Reindeer Games (2000),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.7,3
2489, Wonder Boys (2000),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,3
2490, Chain of Fools (2000),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8.2,3
2491, Drowning Mona (2000),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,2
2492," Next Best Thing, The (2000)",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,3
2493, What Planet Are You From? (2000),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,2
2494, Beyond the Mat (1999),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.7,3
2495, Ghost Dog: The Way of the Samurai (1999),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.2,3
2496, The Year My Voice Broke (1987),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.4,3
2497, Splendor in the Grass (1961),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1
2498, My Tutor (1983),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,3
2499, Key Largo (1948),0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.7,0
2500, For All Mankind (1989),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.8,3
2501, Born Yesterday (1950),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0
2502, Birdy (1984),0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.9,2
2503, Blood Feast (1963),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.2,2
2504," Charlie, the Lonesome Cougar (1967)",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.6,0
2505, Never Cry Wolf (1983),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,2
2506," Raisin in the Sun, A (1961)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,1
2507," Closer You Get, The (2000)",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0
2508, Mission to Mars (2000),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,2
2509," Ninth Gate, The (1999)",0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,5.5,2
2510, East-West (Est-ouest) (1999),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.9,1
2511, Defending Your Life (1991),0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.4,1
2512, Breaking Away (1979),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,2
2513, Hoosiers (a.k.a. Best Shot) (1986),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.1,3
2514, Bull Durham (1988),0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7.5,3
2515, Dog Day Afternoon (1975),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.3,2
2516, American Graffiti (1973),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0
2517," Asphalt Jungle, The (1950)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7.9,3
2518," Searchers, The (1956)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.6,3
2519," Big Country, The (1958)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5.5,2
2520, Betrayed (1988),0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0
2521," Bridge at Remagen, The (1969)",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.6,0
2522, Daughters of the Dust (1991),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,1
2523," Ogre, The (Unhold, Der) (1996)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,2
2524, On the Beach (1959),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0
2525," Taking of Pelham One Two Three, The (1974)",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.6,1
2526, Volunteers (1985),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,3
2527, JFK (1991),0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5.2,2
2528, Who's Harry Crumb? (1989),0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.1,1
